code,description
24900,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"
25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
25003,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
25011,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
25013,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
25022,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
25041,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
25042,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
25043,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
25051,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
25052,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
25053,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
25063,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
25070,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
25071,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
25072,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
25081,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
25082,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
25083,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
25092,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
2511,Other specified hypoglycemia
2512,"Hypoglycemia, unspecified"
2518,Other specified disorders of pancreatic internal secretion
25200,"Hyperparathyroidism, unspecified"
25201,Primary hyperparathyroidism
2532,Panhypopituitarism
2535,Diabetes insipidus
2536,Other disorders of neurohypophysis
2554,[UNK:2554]
25541,Glucocorticoid deficiency
2555,Other adrenal hypofunction
2559,Unspecified disorder of adrenal glands
261,Nutritional marasmus
262,Other severe protein-calorie malnutrition
2630,Malnutrition of moderate degree
2638,Other protein-calorie malnutrition
2639,Unspecified protein-calorie malnutrition
2662,Other B-complex deficiencies
2689,Unspecified vitamin D deficiency
2710,Glycogenosis
2720,Pure hypercholesterolemia
2721,Pure hyperglyceridemia
2724,Other and unspecified hyperlipidemia
2731,Monoclonal paraproteinemia
2733,Macroglobulinemia
2738,Other disorders of plasma protein metabolism
2740,[UNK:2740]
27401,Acute gouty arthropathy
2749,"Gout, unspecified"
2750,[UNK:2750]
27503,Other hemochromatosis
2752,Disorders of magnesium metabolism
2753,Disorders of phosphorus metabolism
27541,Hypocalcemia
27542,Hypercalcemia
27549,Other disorders of calcium metabolism
2760,Hyperosmolality and/or hypernatremia
2761,Hyposmolality and/or hyponatremia
2762,Acidosis
2763,Alkalosis
2764,Mixed acid-base balance disorder
2765,[UNK:2765]
27650,"Volume depletion, unspecified"
27651,Dehydration
27652,Hypovolemia
2766,[UNK:2766]
27669,Other fluid overload
2767,Hyperpotassemia
2768,Hypopotassemia
2769,Electrolyte and fluid disorders not elsewhere classified
2773,[UNK:2773]
27730,"Amyloidosis, unspecified"
27739,Other amyloidosis
2774,Disorders of bilirubin excretion
27788,Tumor lysis syndrome
27800,"Obesity, unspecified"
27801,Morbid obesity
27803,Obesity hypoventilation syndrome
2788,Other hyperalimentation
27900,"Hypogammaglobulinemia, unspecified"
27952,Chronic graft-versus-host disease
2800,Iron deficiency anemia secondary to blood loss (chronic)
2809,"Iron deficiency anemia, unspecified"
2810,Pernicious anemia
2811,Other vitamin B12 deficiency anemia
2819,Unspecified deficiency anemia
28249,Other thalassemia
2825,Sickle-cell trait
2830,Autoimmune hemolytic anemias
28319,Other non-autoimmune hemolytic anemias
2839,"Acquired hemolytic anemia, unspecified"
2841,[UNK:2841]
28419,Other pancytopenia
2848,[UNK:2848]
28489,Other specified aplastic anemias
2851,Acute posthemorrhagic anemia
28521,Anemia in chronic kidney disease
28522,Anemia in neoplastic disease
28529,Anemia of other chronic disease
2853,Antineoplastic chemotherapy induced anemia
2858,Other specified anemias
2859,"Anemia, unspecified"
2866,Defibrination syndrome
2867,Acquired coagulation factor deficiency
2869,Other and unspecified coagulation defects
28731,Immune thrombocytopenic purpura
2874,[UNK:2874]
28749,Other secondary thrombocytopenia
2875,"Thrombocytopenia, unspecified"
2880,[UNK:2880]
28800,"Neutropenia, unspecified"
28803,Drug induced neutropenia
2883,Eosinophilia
28850,"Leukocytopenia, unspecified"
28860,"Leukocytosis, unspecified"
28959,Other diseases of spleen
28981,Primary hypercoagulable state
28984,Heparin-induced thrombocytopenia (HIT)
2899,Unspecified diseases of blood and blood-forming organs
2900,"Senile dementia, uncomplicated"
29040,"Vascular dementia, uncomplicated"
29041,"Vascular dementia, with delirium"
2910,Alcohol withdrawal delirium
2911,Alcohol-induced persisting amnestic disorder
29181,Alcohol withdrawal
2920,Drug withdrawal
29212,Drug-induced psychotic disorder with hallucinations
29281,Drug-induced delirium
2930,Delirium due to conditions classified elsewhere
2939,Unspecified transient mental disorder in conditions classified elsewhere
29410,Dementia in conditions classified elsewhere without behavioral disturbance
29411,Dementia in conditions classified elsewhere with behavioral disturbance
29420,"Dementia, unspecified, without behavioral disturbance"
2948,Other persistent mental disorders due to conditions classified elsewhere
29530,"Paranoid type schizophrenia, unspecified"
29532,"Paranoid type schizophrenia, chronic"
29562,"Schizophrenic disorders, residual type, chronic"
29570,"Schizoaffective disorder, unspecified"
29572,"Schizoaffective disorder, chronic"
29590,"Unspecified schizophrenia, unspecified"
29620,"Major depressive affective disorder, single episode, unspecified"
29630,"Major depressive affective disorder, recurrent episode, unspecified"
29650,"Bipolar I disorder, most recent episode (or current) depressed, unspecified"
2967,"Bipolar I disorder, most recent episode (or current) unspecified"
29680,"Bipolar disorder, unspecified"
29689,Other bipolar disorders
29690,Unspecified episodic mood disorder
2989,Unspecified psychosis
30000,"Anxiety state, unspecified"
30001,Panic disorder without agoraphobia
3003,Obsessive-compulsive disorders
3004,Dysthymic disorder
3017,Antisocial personality disorder
30183,Borderline personality disorder
30300,"Acute alcoholic intoxication in alcoholism, unspecified"
30301,"Acute alcoholic intoxication in alcoholism, continuous"
30390,"Other and unspecified alcohol dependence, unspecified"
30391,"Other and unspecified alcohol dependence, continuous"
30392,"Other and unspecified alcohol dependence, episodic"
30393,"Other and unspecified alcohol dependence, in remission"
30400,"Opioid type dependence, unspecified"
30401,"Opioid type dependence, continuous"
30411,"Sedative, hypnotic or anxiolytic dependence, continuous"
30421,"Cocaine dependence, continuous"
30500,"Alcohol abuse, unspecified"
30501,"Alcohol abuse, continuous"
30503,"Alcohol abuse, in remission"
3051,Tobacco use disorder
30550,"Opioid abuse, unspecified"
30560,"Cocaine abuse, unspecified"
30563,"Cocaine abuse, in remission"
30570,"Amphetamine or related acting sympathomimetic abuse, unspecified"
30590,"Other, mixed, or unspecified drug abuse, unspecified"
30593,"Other, mixed, or unspecified drug abuse, in remission"
3071,Anorexia nervosa
3079,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
3090,Adjustment disorder with depressed mood
30928,Adjustment disorder with mixed anxiety and depressed mood
30981,Posttraumatic stress disorder
3099,Unspecified adjustment reaction
311,"Depressive disorder, not elsewhere classified"
31401,Attention deficit disorder with hyperactivity
317,Mild intellectual disabilities
319,Unspecified intellectual disabilities
3203,Staphylococcal meningitis
3229,"Meningitis, unspecified"
3240,Intracranial abscess
3241,Intraspinal abscess
32723,Obstructive sleep apnea (adult)(pediatric)
3310,Alzheimer's disease
3313,Communicating hydrocephalus
3314,Obstructive hydrocephalus
33182,Dementia with lewy bodies
3320,Paralysis agitans
3330,Other degenerative diseases of the basal ganglia
3331,Essential and other specified forms of tremor
33394,Restless legs syndrome (RLS)
33520,Amyotrophic lateral sclerosis
3363,Myelopathy in other diseases classified elsewhere
3371,Peripheral autonomic neuropathy in disorders classified elsewhere
3379,Unspecified disorder of autonomic nervous system
33811,Acute pain due to trauma
33818,Other acute postoperative pain
33819,Other acute pain
33829,Other chronic pain
3383,Neoplasm related pain (acute) (chronic)
3384,Chronic pain syndrome
340,Multiple sclerosis
34200,Flaccid hemiplegia and hemiparesis affecting unspecified side
34202,Flaccid hemiplegia and hemiparesis affecting nondominant side
34290,"Hemiplegia, unspecified, affecting unspecified side"
34291,"Hemiplegia, unspecified, affecting dominant side"
34292,"Hemiplegia, unspecified, affecting nondominant side"
3439,"Infantile cerebral palsy, unspecified"
34400,"Quadriplegia, unspecified"
3441,Paraplegia
34460,Cauda equina syndrome without mention of neurogenic bladder
34510,"Generalized convulsive epilepsy, without mention of intractable epilepsy"
3453,Grand mal status
34540,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
34541,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
34550,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
34570,"Epilepsia partialis continua, without mention of intractable epilepsy"
34580,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy"
34590,"Epilepsy, unspecified, without mention of intractable epilepsy"
34680,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"
34690,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
3481,Anoxic brain damage
34830,"Encephalopathy, unspecified"
34831,Metabolic encephalopathy
34839,Other encephalopathy
3484,Compression of brain
3485,Cerebral edema
3488,[UNK:3488]
34982,Toxic encephalopathy
3510,Bell's palsy
3518,Other facial nerve disorders
3540,Carpal tunnel syndrome
3558,"Mononeuritis of lower limb, unspecified"
3559,Mononeuritis of unspecified site
3569,Unspecified hereditary and idiopathic peripheral neuropathy
3572,Polyneuropathy in diabetes
3576,Polyneuropathy due to drugs
35800,Myasthenia gravis without (acute) exacerbation
35801,Myasthenia gravis with (acute) exacerbation
35981,Critical illness myopathy
3599,"Myopathy, unspecified"
36201,Background diabetic retinopathy
36250,"Macular degeneration (senile), unspecified"
36570,"Glaucoma stage, unspecified"
3659,Unspecified glaucoma
3668,Other cataract
3669,Unspecified cataract
36846,Homonymous bilateral field defects
3688,Other specified visual disturbances
36900,"Profound impairment, both eyes, impairment level not further specified"
3694,"Legal blindness, as defined in U.S.A."
36960,"Profound impairment, one eye, impairment level not further specified"
37200,"Acute conjunctivitis, unspecified"
37230,"Conjunctivitis, unspecified"
37430,"Ptosis of eyelid, unspecified"
37851,"Third or oculomotor nerve palsy, partial"
37854,Sixth or abducens nerve palsy
37941,Anisocoria
3829,Unspecified otitis media
38600,"M?ni?re's disease, unspecified"
3899,Unspecified hearing loss
3940,Mitral stenosis
3941,Rheumatic mitral insufficiency
3942,Mitral stenosis with insufficiency
3960,Mitral valve stenosis and aortic valve stenosis
3962,Mitral valve insufficiency and aortic valve stenosis
3963,Mitral valve insufficiency and aortic valve insufficiency
3968,Multiple involvement of mitral and aortic valves
3970,Diseases of tricuspid valve
39890,"Rheumatic heart disease, unspecified"
39891,Rheumatic heart failure (congestive)
4010,Malignant essential hypertension
4011,Benign essential hypertension
4019,Unspecified essential hypertension
40291,Unspecified hypertensive heart disease with heart failure
40300,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
40301,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
40310,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
40311,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease"
40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
40391,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
40491,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
40493,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
41001,"Acute myocardial infarction of anterolateral wall, initial episode of care"
41011,"Acute myocardial infarction of other anterior wall, initial episode of care"
41012,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
41021,"Acute myocardial infarction of inferolateral wall, initial episode of care"
41031,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
41041,"Acute myocardial infarction of other inferior wall, initial episode of care"
41042,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
41051,"Acute myocardial infarction of other lateral wall, initial episode of care"
41061,"True posterior wall infarction, initial episode of care"
41071,"Subendocardial infarction, initial episode of care"
41072,"Subendocardial infarction, subsequent episode of care"
41081,"Acute myocardial infarction of other specified sites, initial episode of care"
41091,"Acute myocardial infarction of unspecified site, initial episode of care"
41092,"Acute myocardial infarction of unspecified site, subsequent episode of care"
4111,Intermediate coronary syndrome
41189,"Other acute and subacute forms of ischemic heart disease, other"
412,Old myocardial infarction
4139,Other and unspecified angina pectoris
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
41401,Coronary atherosclerosis of native coronary artery
41402,Coronary atherosclerosis of autologous vein bypass graft
41404,Coronary atherosclerosis of artery bypass graft
41410,Aneurysm of heart (wall)
41412,Dissection of coronary artery
4142,Chronic total occlusion of coronary artery
4148,Other specified forms of chronic ischemic heart disease
41511,Iatrogenic pulmonary embolism and infarction
41512,Septic pulmonary embolism
41519,Other pulmonary embolism and infarction
4160,Primary pulmonary hypertension
4162,Chronic pulmonary embolism
4168,Other chronic pulmonary heart diseases
4169,"Chronic pulmonary heart disease, unspecified"
42090,"Acute pericarditis, unspecified"
42091,Acute idiopathic pericarditis
4210,Acute and subacute bacterial endocarditis
4230,Hemopericardium
4231,Adhesive pericarditis
4232,Constrictive pericarditis
4233,Cardiac tamponade
4238,Other specified diseases of pericardium
4239,Unspecified disease of pericardium
4240,Mitral valve disorders
4241,Aortic valve disorders
4242,"Tricuspid valve disorders, specified as nonrheumatic"
42490,"Endocarditis, valve unspecified, unspecified cause"
4251,[UNK:4251]
4254,Other primary cardiomyopathies
4255,Alcoholic cardiomyopathy
4257,Nutritional and metabolic cardiomyopathy
4258,Cardiomyopathy in other diseases classified elsewhere
4259,"Secondary cardiomyopathy, unspecified"
4260,"Atrioventricular block, complete"
42610,"Atrioventricular block, unspecified"
42611,First degree atrioventricular block
42613,Other second degree atrioventricular block
4263,Other left bundle branch block
4264,Right bundle branch block
42652,Right bundle branch block and left anterior fascicular block
42653,Other bilateral bundle branch block
42682,Long QT syndrome
4270,Paroxysmal supraventricular tachycardia
4271,Paroxysmal ventricular tachycardia
42731,Atrial fibrillation
42732,Atrial flutter
42741,Ventricular fibrillation
4275,Cardiac arrest
42761,Supraventricular premature beats
42769,Other premature beats
42781,Sinoatrial node dysfunction
42789,Other specified cardiac dysrhythmias
4280,"Congestive heart failure, unspecified"
42820,"Systolic heart failure, unspecified"
42821,Acute systolic heart failure
42822,Chronic systolic heart failure
42823,Acute on chronic systolic heart failure
42830,"Diastolic heart failure, unspecified"
42831,Acute diastolic heart failure
42832,Chronic diastolic heart failure
42833,Acute on chronic diastolic heart failure
42840,"Combined systolic and diastolic heart failure, unspecified"
42841,Acute combined systolic and diastolic heart failure
42842,Chronic combined systolic and diastolic heart failure
42843,Acute on chronic combined systolic and diastolic heart failure
4293,Cardiomegaly
4295,Rupture of chordae tendineae
42971,Acquired cardiac septal defect
42983,Takotsubo syndrome
42989,Other ill-defined heart diseases
4299,"Heart disease, unspecified"
430,Subarachnoid hemorrhage
431,Intracerebral hemorrhage
4321,Subdural hemorrhage
4329,Unspecified intracranial hemorrhage
43310,Occlusion and stenosis of carotid artery without mention of cerebral infarction
43311,Occlusion and stenosis of carotid artery with cerebral infarction
43320,Occlusion and stenosis of vertebral artery without mention of cerebral infarction
43330,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
43401,Cerebral thrombosis with cerebral infarction
43411,Cerebral embolism with cerebral infarction
43491,"Cerebral artery occlusion, unspecified with cerebral infarction"
4352,Subclavian steal syndrome
4358,Other specified transient cerebral ischemias
4359,Unspecified transient cerebral ischemia
4370,Cerebral atherosclerosis
4373,"Cerebral aneurysm, nonruptured"
4380,"Late effects of cerebrovascular disease, cognitive deficits"
43811,"Late effects of cerebrovascular disease, aphasia"
43819,"Late effects of cerebrovascular disease, other speech and language deficits"
43820,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
4387,"Late effects of cerebrovascular disease, disturbances of vision"
43882,"Other late effects of cerebrovascular disease, dysphagia"
43883,"Other late effects of cerebrovascular disease, facial weakness"
43889,Other late effects of cerebrovascular disease
4389,Unspecified late effects of cerebrovascular disease
4400,Atherosclerosis of aorta
4401,Atherosclerosis of renal artery
44020,"Atherosclerosis of native arteries of the extremities, unspecified"
44021,Atherosclerosis of native arteries of the extremities with intermittent claudication
44022,Atherosclerosis of native arteries of the extremities with rest pain
44023,Atherosclerosis of native arteries of the extremities with ulceration
44024,Atherosclerosis of native arteries of the extremities with gangrene
44031,Atherosclerosis of autologous vein bypass graft of the extremities
4404,Chronic total occlusion of artery of the extremities
4408,Atherosclerosis of other specified arteries
44101,"Dissection of aorta, thoracic"
44102,"Dissection of aorta, abdominal"
44103,"Dissection of aorta, thoracoabdominal"
4411,"Thoracic aneurysm, ruptured"
4412,Thoracic aneurysm without mention of rupture
4414,Abdominal aneurysm without mention of rupture
4417,"Thoracoabdominal aneurysm, without mention of rupture"
4422,Aneurysm of iliac artery
4423,Aneurysm of artery of lower extremity
4430,Raynaud's syndrome
44329,Dissection of other artery
44381,Peripheral angiopathy in diseases classified elsewhere
44389,Other specified peripheral vascular diseases
4439,"Peripheral vascular disease, unspecified"
4440,[UNK:4440]
4441,Embolism and thrombosis of thoracic aorta
44421,Arterial embolism and thrombosis of upper extremity
44422,Arterial embolism and thrombosis of lower extremity
44481,Embolism and thrombosis of iliac artery
44489,Embolism and thrombosis of other specified artery
44629,Other specified hypersensitivity angiitis
4464,Wegener's granulomatosis
4465,Giant cell arteritis
4466,Thrombotic microangiopathy
4471,Stricture of artery
4476,"Arteritis, unspecified"
449,Septic arterial embolism
45182,Phlebitis and thrombophlebitis of superficial veins of upper extremities
45189,Phlebitis and thrombophlebitis of other sites
452,Portal vein thrombosis
4532,Other venous embolism and thrombosis of inferior vena cava
45340,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
45341,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
45342,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
45351,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity
4538,[UNK:4538]
45381,Acute venous embolism and thrombosis of superficial veins of upper extremity
45382,Acute venous embolism and thrombosis of deep veins of upper extremity
45384,Acute venous embolism and thrombosis of axillary veins
45385,Acute venous embolism and thrombosis of subclavian veins
45386,Acute venous embolism and thrombosis of internal jugular veins
4549,Asymptomatic varicose veins
4550,Internal hemorrhoids without mention of complication
4552,Internal hemorrhoids with other complication
4556,Unspecified hemorrhoids without mention of complication
4558,Unspecified hemorrhoids with other complication
4561,Esophageal varices without mention of bleeding
45620,"Esophageal varices in diseases classified elsewhere, with bleeding"
45621,"Esophageal varices in diseases classified elsewhere, without mention of bleeding"
4568,Varices of other sites
4571,Other lymphedema
4578,Other noninfectious disorders of lymphatic channels
4580,Orthostatic hypotension
4582,[UNK:4582]
45821,Hypotension of hemodialysis
45829,Other iatrogenic hypotension
4588,Other specified hypotension
4589,"Hypotension, unspecified"
4590,"Hemorrhage, unspecified"
4592,Compression of vein
45981,"Venous (peripheral) insufficiency, unspecified"
4619,"Acute sinusitis, unspecified"
4659,Acute upper respiratory infections of unspecified site
4660,Acute bronchitis
4739,Unspecified sinusitis (chronic)
47829,"Other diseases of pharynx, not elsewhere classified"
47830,"Paralysis of vocal cords or larynx, unspecified"
47831,"Unilateral paralysis of vocal cords or larynx, partial"
4785,Other diseases of vocal cords
4786,Edema of larynx
47875,Laryngeal spasm
4809,"Viral pneumonia, unspecified"
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
4820,Pneumonia due to Klebsiella pneumoniae
4821,Pneumonia due to Pseudomonas
4822,Pneumonia due to Hemophilus influenzae [H. influenzae]
48241,Methicillin susceptible pneumonia due to Staphylococcus aureus
48242,Methicillin resistant pneumonia due to Staphylococcus aureus
48282,Pneumonia due to escherichia coli [E. coli]
48283,Pneumonia due to other gram-negative bacteria
48284,Pneumonia due to Legionnaires' disease
