code,symptom
9465,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple specified sites"
8672,"Injury to ureter, without mention of open wound into cavity"
3533,"Thoracic root lesions, not elsewhere classified"
4431,Thromboangiitis obliterans [Buerger's disease]
8751,"Open wound of chest (wall), complicated"
570,Acute and subacute necrosis of liver
9649,Poisoning by unspecified agent affecting blood constituents
0221,Pulmonary anthrax
504,Pneumonopathy due to inhalation of other dust
4011,Benign hypertension
9723,Poisoning by ganglion-blocking agents
5569,"Ulcerative colitis, unspecified"
0092,Infectious diarrhea
3951,Rheumatic aortic insufficiency
0043,Shigella sonnei
326,Late effects of intracranial abscess or pyogenic infection
4413,"Abdominal aneurysm, ruptured"
0239,"Brucellosis, unspecified"
5771,Chronic pancreatitis
5651,Anal fistula
3201,Pneumococcal meningitis
325,Phlebitis and thrombophlebitis of intracranial venous sinuses
5732,Hepatitis in other infectious diseases classified elsewhere
0721,Mumps meningitis
0529,Varicella without mention of complication
4142,Chronic total occlusion of coronary artery
2109,"Benign neoplasm of pharynx, unspecified"
7674,Injury to spine and spinal cord due to birth trauma
8604,Traumatic pneumohemothorax without mention of open wound into thorax
3749,Unspecified disorder of eyelid
4541,Varicose veins of lower extremities with inflammation
632,Missed abortion
8673,"Injury to ureter, with open wound into cavity"
0051,Botulism food poisoning
2279,"Benign neoplasm of endocrine gland, site unspecified"
4242,"Tricuspid valve disorders, specified as nonrheumatic"
9928,Other specified heat effects
8874,"Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, without mention of complication"
3348,Other spinocerebellar diseases
9609,Poisoning by unspecified antibiotic
8675,"Injury to uterus, with open wound into cavity"
8171,Multiple open fractures of hand bones
7764,Polycythemia neonatorum
9803,Toxic effect of fusel oil
5839,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney"
8922,"Open wound of foot except toe(s) alone, with tendon involvement"
3736,Parasitic infestation of eyelid
7711,Congenital cytomegalovirus infection
4429,Aneurysm of unspecified site
3551,Meralgia paresthetica
966,Poisoning by chloral hydrate group
9671,Poisoning by tetracycline group
5909,"Infection of kidney, unspecified"
4281,Left heart failure
8851,"Traumatic amputation of thumb (complete)(partial), complicated"
4611,Acute frontal sinusitis
4719,Unspecified nasal polyp
9729,Poisoning by other and unspecified agents primarily affecting the cardiovascular system
0390,Cutaneous actinomycotic infection
4592,Compression of vein
3952,Rheumatic aortic stenosis with insufficiency
0392,Abdominal actinomycotic infection
3129,Unspecified disturbance of conduct
503,Pneumoconiosis due to other inorganic dust
5163,Idio fibros alveolitis
2319,"Carcinoma in situ of respiratory system, part unspecified"
3619,Unspecified retinal detachment
0202,Septicemic plague
3885,Disorders of acoustic nerve
8873,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, complicated"
9633,Poisoning by alkalizing agents
7788,Other specified conditions involving the integument of fetus and newborn
9659,Poisoning by unspecified analgesic and antipyretic
9341,Foreign body in main bronchus
3779,Unspecified disorder of optic nerve and visual pathways
3789,Unspecified disorder of eye movements
0212,Pulmonary tularemia
9741,Poisoning by purine derivative diuretics
7818,Neurologic neglect syndrome
3593,Periodic paralysis
5282,Oral aphthae
9923,"Heat exhaustion, anhydrotic"
7936,"Nonspecific (abnormal) findings on radiological and other examination of abdominal area, including retroperitoneum"
0651,Omsk hemorrhagic fever
3141,Hyperkinesis with developmental delay
3148,Other specified manifestations of hyperkinetic syndrome
3029,Unspecified psychosexual disorder
7679,"Birth trauma, unspecified"
7932,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
7672,Fracture of clavicle due to birth trauma
2181,Intramural leiomyoma of uterus
5164,Lymphangioleiomyomatosis
7741,Perinatal jaundice from other excessive hemolysis
4610,Acute maxillary sinusitis
485,"Bronchopneumonia, organism unspecified"
9802,Toxic effect of isopropyl alcohol
5184,"Acute edema of lung, unspecified"
4241,Aortic valve disorders
4389,Unspecified late effects of cerebrovascular disease
7779,Unspecified perinatal disorder of digestive system
0048,Other specified shigella infections
3552,Other lesion of femoral nerve
3699,Unspecified visual loss
3229,"Meningitis, unspecified"
7869,Other symptoms involving respiratory system and chest
7867,Abnormal chest sounds
7767,Transient neonatal neutropenia
4466,Thrombotic microangiopathy
3499,Unspecified disorders of nervous system
4461,Acute febrile mucocutaneous lymph node syndrome [MCLS]
0061,Chronic intestinal amebiasis without mention of abscess
0063,Amebic liver abscess
0010,Cholera due to vibrio cholerae
4292,"Cardiovascular disease, unspecified"
7848,Hemorrhage from throat
7915,Glycosuria
3511,Geniculate ganglionitis
3734,Infective dermatitis of eyelid of types resulting in deformity
9919,Unspecified effect of reduced temperature
8401,Coracoclavicular (ligament) sprain
5222,Pulp degeneration
3868,Other disorders of labyrinth
3596,Symptomatic inflammatory myopathy in diseases classified elsewhere
5641,Irritable bowel syndrome
4613,Acute sphenoidal sinusitis
4881,Flu dt iden H1N1 virus
7747,Kernicterus of fetus or newborn not due to isoimmunization
7866,"Swelling, mass, or lump in chest"
8076,Open fracture of larynx and trachea
7760,Hemorrhagic disease of newborn
8603,Traumatic hemothorax with open wound into thorax
2162,Benign neoplasm of ear and external auditory canal
2103,Benign neoplasm of floor of mouth
3809,Unspecified disorder of external ear
9851,Toxic effect of arsenic and its compounds
8221,Open fracture of patella
5671,Pneumococcal peritonitis
6951,FORCEP DELIV NOS-DELIVER
0071,Giardiasis
7962,Elevated blood pressure reading without diagnosis of hypertension
7914,Biliuria
3452,Petit mal status
0039,"Salmonella infection, unspecified"
8601,Traumatic pneumothorax with open wound into thorax
7799,Unspecified condition originating in the perinatal period
0233,Brucella canis
4572,Lymphangitis
0022,Paratyphoid fever B
3963,Mitral valve insufficiency and aortic valve insufficiency
5305,Dyskinesia of esophagus
0052,Food poisoning due to Clostridium perfringens (C. welchii)
0054,Food poisoning due to Vibrio parahaemolyticus
2912,Alcohol-induced persisting dementia
9224,Contusion of genital organs
9995,Serum reaction NEC
4252,Obscure cardiomyopathy of Africa
4422,Aneurysm of iliac artery
4563,Sublingual varices
4533,Other venous embolism and thrombosis of renal vein
3822,Chronic atticoantral suppurative otitis media
4512,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
5069,Unspecified respiratory conditions due to fumes and vapors
3343,Other cerebellar ataxia
7731,Hemolytic disease of fetus or newborn due to ABO isoimmunization
4255,Alcoholic cardiomyopathy
4211,Acute and subacute infective endocarditis in diseases classified elsewhere
9463,Full-thickness skin loss [third degree NOS] of multiple specified sites
0412,Pneumococcus infection in conditions classified elsewhere and of unspecified site
3899,Unspecified hearing loss
2751,Disorders of copper metabolism
5994,Urethral false passage
6141,Chronic salpingitis and oophoritis
2309,Carcinoma in situ of other and unspecified digestive organs
3484,Compression of brain
9638,Poisoning by other specified systemic agents
0780,Molluscum contagiosum
7917,Other cells and casts in urine
2219,"Benign neoplasm of female genital organ, site unspecified"
5296,Glossodynia
7933,Nonspecific (abnormal) findings on radiological and other examination of biliary tract
7934,Nonspecific (abnormal) findings on radiological and other examination of gastrointestinal tract
7864,Abnormal sputum
7785,Other and unspecified edema of newborn
7765,Congenital anemia
8744,"Open wound of pharynx, without mention of complication"
8703,"Penetrating wound of orbit, without mention of foreign body"
3241,Intraspinal abscess
3320,Paralysis agitans
4232,Constrictive pericarditis
5293,Hypertrophy of tongue papillae
9756,Poisoning by anti-common cold drugs
9762,Poisoning by local astringents and local detergents
8875,"Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, complicated"
5993,Urethral caruncle
5304,Perforation of esophagus
5789,"Hemorrhage of gastrointestinal tract, unspecified"
5718,Other chronic nonalcoholic liver disease
7966,Abnormal findings on neonatal screening
0394,Madura foot
9754,Poisoning by antitussives
3009,Unspecified nonpsychotic mental disorder
8083,Open fracture of pubis
0050,Staphylococcal food poisoning
2311,Carcinoma in situ of trachea
5303,Stricture and stenosis of esophagus
9788,Poisoning by other and unspecified bacterial vaccines
8709,Unspecified open wound of ocular adnexa
3220,Nonpyogenic meningitis
5822,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis
5642,Postgastric surgery syndromes
8081,Open fracture of acetabulum
8021,Open fracture of nasal bones
8089,Open unspecified fracture of pelvis
4530,Budd-chiari syndrome
0609,"Yellow fever, unspecified"
0231,Brucella abortus
7817,Tetany
7905,Other nonspecific abnormal serum enzyme levels
064,Viral encephalitis transmitted by other and unspecified arthropods
3889,Unspecified disorder of ear
0782,Sweating fever
3882,"Sudden hearing loss, unspecified"
5793,Other and unspecified postsurgical nonabsorption
7109,Unspecified diffuse connective tissue disease
7906,Other abnormal blood chemistry
7816,Meningismus
9751,Poisoning by smooth muscle relaxants
0074,Cryptosporidiosis
9624,Poisoning by anterior pituitary hormones
7745,Perinatal jaundice from other causes
9761,Poisoning by antipruritics
7963,Nonspecific low blood pressure reading
7784,Other disturbances of temperature regulation of newborn
8670,"Injury to bladder and urethra, without mention of open wound into cavity"
8861,"Traumatic amputation of other finger(s) (complete) (partial), complicated"
2722,Mixed hyperlipidemia
586,"Renal failure, unspecified"
0064,Amebic lung abscess
2631,Malnutrition of mild degree
4449,Embolism and thrombosis of unspecified artery
8075,Closed fracture of larynx and trachea
4571,Other lymphedema
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
3888,Other disorders of ear
9735,Poisoning by antidiarrheal drugs
7787,Breast engorgement in newborn
4411,"Thoracic aneurysm, ruptured"
4441,Embolism and thrombosis of thoracic aorta
7676,Injury to brachial plexus due to birth trauma
4551,Internal thrombosed hemorrhoids
9602,Poisoning by chloramphenicol group
1742,Malignant neoplasm of upper-inner quadrant of female breast
0339,"Whooping cough, unspecified organism"
7759,Unspecified endocrine and metabolic disturbances specific to the fetus and newborn
7756,Neonatal hypoglycemia
5781,Blood in stool
5362,Persistent vomiting
4467,Takayasu's disease
7768,Other specified transient hematological disorders of fetus or newborn
0302,Indeterminate leprosy [group I]
9627,Poisoning by thyroid and thyroid derivatives
9635,"Poisoning by vitamins, not elsewhere classified"
0203,Primary pneumonic plague
9712,Poisoning by sympathomimetics [adrenergics]
5111,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
9972,"Peripheral vascular complications, not elsewhere classified"
8472,Sprain of lumbar
7868,Hiccough
9641,Poisoning by liver preparations and other antianemic agents
7050,Anhidrosis
3334,Huntington's chorea
0639,"Tick-borne viral encephalitis, unspecified"
5902,Renal and perinephric abscess
2102,Benign neoplasm of major salivary glands
3249,Intracranial and intraspinal abscess of unspecified site
2911,Alcohol-induced persisting amnestic disorder
8244,"Bimalleolar fracture, closed"
3482,Benign intracranial hypertension
5061,Acute pulmonary edema due to fumes and vapors
8761,"Open wound of back, complicated"
1733,Mal neo skin face NEC
4419,Aortic aneurysm of unspecified site without mention of rupture
1341,Other arthropod infestation
1371,Late effects of central nervous system tuberculosis
3766,Retained (old) foreign body following penetrating wound of orbit
684,Impetigo
7813,Lack of coordination
3941,Rheumatic mitral insufficiency
5792,Blind loop syndrome
4412,Thoracic aneurysm without mention of rupture
8181,Ill-defined open fractures of upper limb
0031,Salmonella septicemia
8621,"Injury to diaphragm, with open wound into cavity"
3732,Chalazion
9655,Poisoning by pyrazole derivatives
8932,"Open wound of toe(s), with tendon involvement"
4414,Abdominal aneurysm without mention of rupture
8877,"Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], complicated"
6071,Balanoposthitis
6241,Atrophy of vulva
6011,Chronic prostatitis
0072,Coccidiosis
6029,Unspecified disorder of prostate
5831,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis"
3595,Myopathy in endocrine diseases classified elsewhere
8363,"Dislocation of patella, closed"
7863,Hemoptysis
500,Coal workers' pneumoconiosis
2252,Benign neoplasm of cerebral meninges
7742,Neonatal jaundice associated with preterm delivery
9618,Poisoning by other antimycobacterial drugs
605,Redundant prepuce and phimosis
7931,Nonsp abn fd-lung field
7847,Epistaxis
9957,"Other adverse food reactions, not elsewhere classified"
0861,Chagas' disease with other organ involvement
2211,Benign neoplasm of vagina
7778,Other specified perinatal disorders of digestive system
9820,Toxic effect of benzene and homologues
7702,Interstitial emphysema and related conditions
3591,Hereditary progressive muscular dystrophy
3798,Other specified disorders of eye and adnexa
1273,Trichuriasis
0851,"Cutaneous leishmaniasis, urban"
8073,Open fracture of sternum
7639,Unspecified complication of labor and delivery affecting fetus or newborn
2731,Monoclonal paraproteinemia
5689,Unspecified disorder of peritoneum
3561,Peroneal muscular atrophy
5209,Unspecified disorder of tooth development and eruption
7901,Elevated sedimentation rate
0999,"Venereal disease, unspecified"
0889,"Arthropod-borne disease, unspecified"
9619,Poisoning by other and unspecified anti-infectives
0073,Intestinal trichomoniasis
9701,Poisoning by opiate antagonists
0852,"Cutaneous leishmaniasis, Asian desert"
2753,Disorders of phosphorus metabolism
9939,Unspecified effect of air pressure
9941,Drowning and nonfatal submersion
4289,"Heart failure, unspecified"
7907,Bacteremia
8088,Closed unspecified fracture of pelvis
4549,Asymptomatic varicose veins
7859,Other symptoms involving cardiovascular system
2411,Nontoxic multinodular goiter
0065,Amebic brain abscess
9926,"Heat fatigue, transient"
3729,Unspecified disorder of conjunctiva
3342,Primary cerebellar degeneration
0205,"Pneumonic plague, unspecified"
9657,Poisoning by other non-narcotic analgesics
4531,Thrombophlebitis migrans
5194,Disorders of diaphragm
7601,Maternal renal and urinary tract diseases affecting fetus or newborn
7611,Premature rupture of membranes affecting fetus or newborn
5733,"Hepatitis, unspecified"
9670,Poisoning by barbiturates
4829,"Bacterial pneumonia, unspecified"
0391,Pulmonary actinomycotic infection
9393,Foreign body in penis
0479,Unspecified viral meningitis
5121,Iatrogenic pneumothorax
3525,Disorders of hypoglossal [12th] nerve
3531,Lumbosacral plexus lesions
4240,Mitral valve disorders
3481,Anoxic brain damage
7763,Other transient neonatal disorders of coagulation
4019,Unspecified essential hypertension
3532,"Cervical root lesions, not elsewhere classified"
3572,Neuropathy in diabetes
4254,Other primary cardiomyopathies
4552,Internal hemorrhoids with other complication
7812,Abnormality of gait
9623,Poisoning by insulins and antidiabetic agents
0601,Urban yellow fever
2632,Arrested development following protein-calorie malnutrition
1839,"Malignant neoplasm of uterine adnexa, unspecified site"
2759,Unspecified disorder of mineral metabolism
7012,Acquired acanthosis nigricans
2100,Benign neoplasm of lip
3962,Mitral valve insufficiency and aortic valve stenosis
0062,Amebic nondysenteric colitis
5521,Umbilical hernia with obstruction
0083,Intestinal infection due to proteus (mirabilis) (morganii)
8482,Sprain of thyroid region
7937,Nonspecific (abnormal) findings on radiological and other examination of musculoskeletal system
0070,Balantidiasis
7837,Adult failure to thrive
7814,Transient paralysis of limb
7904,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
5298,Other specified conditions of the tongue
6829,Cellulitis and abscess of unspecified sites
0204,Secondary pneumonic plague
3859,Unspecified disorder of middle ear and mastoid
2121,Benign neoplasm of larynx
5300,Achalasia and cardiospasm
4590,"Hemorrhage, unspecified"
2630,Malnutrition of moderate degree
2761,Hyposmolality and/or hyponatremia
5371,Gastric diverticulum
0059,"Food poisoning, unspecified"
9738,Poisoning by other specified agents primarily affecting the gastrointestinal system
4463,Lethal midline granuloma
0761,"Trachoma, active stage"
3341,Hereditary spastic paraplegia
412,Old myocardial infarction
9601,Poisoning by antifungal antibiotics
8850,"Traumatic amputation of thumb (complete)(partial), without mention of complication"
0772,Pharyngoconjunctival fever
4415,"Aortic aneurysm of unspecified site, ruptured"
5183,Pulmonary eosinophilia
5193,"Other diseases of mediastinum, not elsewhere classified"
7771,Meconium obstruction in fetus or newborn
8448,Sprains and strains of other specified sites of knee and leg
0082,Intestinal infection due to aerobacter aerogenes
0081,Intestinal infection due to arizona group of paracolon bacilli
8471,Sprain of thoracic
9733,"Poisoning by other cathartics, including intestinal atonia"
2811,Other vitamin B12 deficiency anemia
2723,Hyperchylomicronemia
7675,Facial nerve injury due to birth trauma
5259,Unspecified disorder of the teeth and supporting structures
9785,Poisoning by diphtheria vaccine
2749,"Gout, unspecified"
4210,Acute and subacute bacterial endocarditis
7791,Other and unspecified cerebral irritability in newborn
9739,Poisoning by unspecified agent primarily affecting the gastrointestinal system
7802,Syncope and collapse
4400,Atherosclerosis of aorta
6269,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract
7829,Other symptoms involving skin and integumentary tissues
411,OTHER ACUTE AND SUBACUTE FORMS OF ISCHEMIC HEART DISEASE
700,Corns and callosities
8840,"Multiple and unspecified open wound of upper limb, without mention of complication"
9239,Contusion of unspecified part of upper limb
3373,Autonomic dysreflexia
3869,Unspecified vertiginous syndromes and labyrinthine disorders
0211,Enteric tularemia
0021,Paratyphoid fever A
2931,Subacute delirium
7916,Acetonuria
7569,Other and unspecified anomalies of musculoskeletal system
734,Flat foot
1736,Malig neo skin arm
5292,Median rhomboid glossitis
